city,area,sqft,bhk,bathrooms,price
Delhi,Rohini,1592,3,2,13115000.0
Mumbai,Andheri East,2021,4,4,36760000.0
Hyderabad,HITEC City,900,2,2,8506000.0
Delhi,Uttam Nagar,1429,3,3,7668000.0
Hyderabad,Kukatpally,1118,3,3,7326000.0
Bangalore,Hebbal,2455,4,4,39898000.0
Hyderabad,Kukatpally,1530,3,3,10062000.0
Hyderabad,HITEC City,1967,4,3,20675000.0
Hyderabad,Kondapur,1163,2,2,9686000.0
Bangalore,Electronic City,852,2,2,7810000.0
Hyderabad,Gachibowli,1676,3,2,13409000.0
Delhi,Saket,2460,4,4,33139000.0
Chennai,Chromepet,840,2,1,5503000.0
Hyderabad,Kukatpally,1106,3,3,7084000.0
Bangalore,Electronic City,1066,2,2,9761000.0
Hyderabad,Gachibowli,767,2,2,5551000.0
Bangalore,Sarjapur Road,1060,2,1,13356000.0
Delhi,Greater Kailash,1629,3,3,26814000.0
Mumbai,Worli,1388,3,2,30006000.0
Delhi,Greater Kailash,1630,3,2,31952000.0
Mumbai,Lower Parel,804,2,2,17747000.0
Hyderabad,Gachibowli,867,2,2,7631000.0
Bangalore,Electronic City,1011,2,2,9018000.0
Bangalore,Yelahanka,737,2,2,7384000.0
Mumbai,Lower Parel,1509,3,3,35733000.0
Mumbai,Borivali,1092,2,2,14595000.0
Bangalore,Whitefield,1492,3,2,21357000.0
Delhi,Rohini,510,1,1,3453000.0
Hyderabad,HITEC City,1694,3,3,15637000.0
Bangalore,Yelahanka,1485,3,3,15452000.0
Delhi,Uttam Nagar,1747,3,3,10726000.0
Delhi,Greater Kailash,1684,3,3,25941000.0
Mumbai,Chembur,914,2,2,12874000.0
Chennai,Medavakkam,1027,2,2,8473000.0
Delhi,Greater Kailash,1112,2,1,15844000.0
Mumbai,Andheri East,1172,2,2,18022000.0
Hyderabad,Kukatpally,664,1,1,3632000.0
Mumbai,Lower Parel,472,1,1,10146000.0
Bangalore,Yelahanka,2413,4,4,27920000.0
Mumbai,Lower Parel,1100,2,2,25963000.0
Bangalore,Hebbal,1033,2,2,15588000.0
Delhi,Greater Kailash,3411,5,5,66469000.0
Hyderabad,Gachibowli,2525,4,4,21956000.0
Delhi,Uttam Nagar,1762,3,3,11121000.0
Bangalore,Sarjapur Road,1747,3,3,21443000.0
Bangalore,Sarjapur Road,709,2,1,7618000.0
Bangalore,Sarjapur Road,714,2,2,9818000.0
Hyderabad,HITEC City,997,2,2,8923000.0
Mumbai,Borivali,1382,3,2,19287000.0
Mumbai,Lower Parel,2399,4,4,55957000.0
Chennai,Medavakkam,1670,3,3,12729000.0
Chennai,Chromepet,1677,3,3,12397000.0
Hyderabad,Kondapur,1121,3,3,7900000.0
Bangalore,Hebbal,1330,3,2,19646000.0
Chennai,Chromepet,1005,2,1,7676000.0
Delhi,Rohini,1747,4,4,17603000.0
Bangalore,Hebbal,797,2,2,12962000.0
Delhi,Rohini,733,2,1,5452000.0
Chennai,Ambattur,1675,3,2,12717000.0
Bangalore,Electronic City,1168,2,2,10280000.0
Mumbai,Andheri East,1647,3,3,31215000.0
Hyderabad,Kondapur,987,2,2,7271000.0
Bangalore,Sarjapur Road,1154,2,2,13797000.0
Delhi,Greater Kailash,2642,4,4,41365000.0
Hyderabad,Kondapur,1616,3,2,13052000.0
Mumbai,Borivali,1181,3,3,18169000.0
Hyderabad,Miyapur,899,2,1,4844000.0
Hyderabad,Miyapur,1981,4,4,12368000.0
Bangalore,Yelahanka,3985,5,4,46332000.0
Hyderabad,Kukatpally,913,2,1,4753000.0
Hyderabad,Miyapur,1072,2,2,5697000.0
Mumbai,Lower Parel,727,2,2,16302000.0
Mumbai,Andheri East,1150,3,3,19948000.0
Hyderabad,Miyapur,1198,3,3,6292000.0
Chennai,Medavakkam,884,2,2,6271000.0
Bangalore,Whitefield,825,2,2,11126000.0
Bangalore,Whitefield,864,2,1,10577000.0
Bangalore,Hebbal,630,1,1,8525000.0
Hyderabad,Gachibowli,1387,3,3,12312000.0
Hyderabad,Kukatpally,742,2,2,3617000.0
Mumbai,Borivali,748,2,2,9581000.0
Mumbai,Worli,799,2,1,20212000.0
Chennai,Medavakkam,1361,3,3,11169000.0
Delhi,Saket,1275,3,3,17279000.0
Mumbai,Borivali,1680,3,3,25568000.0
Bangalore,Hebbal,1133,2,2,18590000.0
Bangalore,Sarjapur Road,1148,2,1,13789000.0
Hyderabad,Kukatpally,1331,3,3,8305000.0
Chennai,Chromepet,1420,3,2,10140000.0
Bangalore,Whitefield,2115,4,3,32989000.0
Mumbai,Chembur,778,2,2,10015000.0
Hyderabad,Gachibowli,2333,4,3,22310000.0
Delhi,Rohini,2419,4,4,21625000.0
Bangalore,Electronic City,1754,3,2,17917000.0
Chennai,OMR,1118,2,2,9933000.0
Chennai,Chromepet,1436,3,2,9963000.0
Bangalore,Yelahanka,1403,3,3,13888000.0
Mumbai,Lower Parel,1278,3,3,33318000.0
Delhi,Rohini,835,2,2,6575000.0
Chennai,Ambattur,577,1,1,3380000.0
Delhi,Dwarka,654,1,1,5260000.0
Chennai,Medavakkam,817,2,2,6333000.0
Hyderabad,Kondapur,978,2,2,6585000.0
Hyderabad,Gachibowli,972,2,1,6088000.0
Bangalore,Sarjapur Road,1121,2,1,14517000.0
Bangalore,Hebbal,1282,3,3,18409000.0
Chennai,Pallavaram,1563,3,3,11148000.0
Bangalore,Yelahanka,1435,3,3,15043000.0
Chennai,Ambattur,2475,4,4,22818000.0
Delhi,Rohini,1657,3,3,13237000.0
Chennai,Pallavaram,855,2,2,6165000.0
Mumbai,Andheri East,1428,3,3,25721000.0
Bangalore,Sarjapur Road,1239,3,3,17018000.0
Chennai,Pallavaram,1137,2,2,8131000.0
Delhi,Greater Kailash,2350,4,4,49150000.0
Delhi,Uttam Nagar,550,1,1,2805000.0
Hyderabad,Kondapur,518,1,1,3026000.0
Delhi,Greater Kailash,730,2,2,11389000.0
Hyderabad,Miyapur,792,2,1,4741000.0
Hyderabad,Miyapur,1563,3,3,9896000.0
Mumbai,Chembur,1033,2,2,15246000.0
Mumbai,Worli,1122,3,3,27697000.0
Bangalore,Sarjapur Road,958,2,2,11602000.0
Chennai,Chromepet,706,2,1,6437000.0
Bangalore,Yelahanka,1507,3,2,16720000.0
Hyderabad,Kukatpally,1336,3,3,8578000.0
Delhi,Rohini,1169,2,2,10237000.0
Delhi,Greater Kailash,1611,4,3,27715000.0
Delhi,Uttam Nagar,2374,4,4,15154000.0
Bangalore,Hebbal,1697,3,3,30454000.0
Hyderabad,Kondapur,500,1,1,2918000.0
Chennai,Chromepet,1574,3,3,14435000.0
Hyderabad,Kukatpally,1563,3,3,10018000.0
Bangalore,Yelahanka,800,2,1,7664000.0
Chennai,Pallavaram,705,2,2,4890000.0
Chennai,Pallavaram,415,1,1,2743000.0
Delhi,Saket,1426,3,3,22015000.0
Chennai,Pallavaram,886,2,2,5976000.0
Chennai,Ambattur,1969,4,4,17284000.0
Bangalore,Sarjapur Road,1173,2,1,13396000.0
Mumbai,Chembur,1661,3,3,26536000.0
Chennai,Chromepet,1525,3,3,12782000.0
Bangalore,Hebbal,1198,2,2,18613000.0
Chennai,Ambattur,1319,3,3,10184000.0
Chennai,Chromepet,747,2,2,5526000.0
Hyderabad,Gachibowli,1507,3,3,11032000.0
Bangalore,Whitefield,1789,4,4,26305000.0
Delhi,Saket,739,2,2,10406000.0
Bangalore,Hebbal,1565,3,3,24391000.0
Bangalore,Yelahanka,1012,2,2,9535000.0
Delhi,Greater Kailash,1182,2,2,18360000.0
Delhi,Greater Kailash,867,2,2,13509000.0
Mumbai,Borivali,744,2,2,7922000.0
Mumbai,Worli,2536,5,5,77361000.0
Hyderabad,Kondapur,913,2,1,6337000.0
Delhi,Dwarka,1650,4,3,16254000.0
Chennai,Medavakkam,1592,3,3,14679000.0
Delhi,Rohini,1142,3,2,10159000.0
Delhi,Rohini,2213,4,3,21564000.0
Bangalore,Hebbal,928,2,2,13140000.0
Bangalore,Hebbal,889,2,2,12768000.0
Chennai,Pallavaram,1790,4,4,16135000.0
Bangalore,Whitefield,1441,3,3,21130000.0
Mumbai,Chembur,972,2,2,11991000.0
Delhi,Greater Kailash,1941,4,4,32704000.0
Chennai,OMR,2503,5,5,31912000.0
Mumbai,Borivali,1548,3,3,19963000.0
Mumbai,Chembur,1579,3,3,26100000.0
Mumbai,Worli,979,2,1,24125000.0
Bangalore,Electronic City,802,2,2,8577000.0
Bangalore,Electronic City,1784,3,3,18906000.0
Mumbai,Borivali,1540,3,3,24212000.0
Chennai,OMR,1152,3,3,12559000.0
Hyderabad,Kukatpally,915,2,2,5062000.0
Mumbai,Chembur,921,2,2,12933000.0
Hyderabad,Kukatpally,442,1,1,2284000.0
Bangalore,Yelahanka,2075,4,3,19390000.0
Delhi,Saket,1151,2,2,16589000.0
Hyderabad,Gachibowli,1356,3,3,11587000.0
Mumbai,Worli,1232,3,3,34566000.0
Chennai,Pallavaram,1971,4,4,16243000.0
Chennai,OMR,510,1,1,4941000.0
Hyderabad,Miyapur,1426,3,3,8301000.0
Hyderabad,Kondapur,1320,3,3,9812000.0
Mumbai,Worli,669,1,1,12144000.0
Mumbai,Worli,1782,3,3,44162000.0
Bangalore,Sarjapur Road,1941,4,4,28560000.0
Hyderabad,Miyapur,838,2,2,3886000.0
Delhi,Rohini,1013,2,1,8693000.0
Hyderabad,HITEC City,1563,3,2,15789000.0
Chennai,Medavakkam,817,2,2,6326000.0
Chennai,Pallavaram,1184,3,3,8844000.0
Hyderabad,Gachibowli,2050,4,4,16181000.0
Chennai,Pallavaram,3303,5,4,26225000.0
Chennai,Pallavaram,1222,3,3,9177000.0
Delhi,Uttam Nagar,1142,2,1,6870000.0
Hyderabad,HITEC City,2924,5,5,32821000.0
Mumbai,Borivali,1126,3,2,14747000.0
Hyderabad,HITEC City,1749,3,2,19037000.0
Mumbai,Borivali,602,1,1,6737000.0
Delhi,Rohini,901,2,2,6669000.0
Bangalore,Electronic City,707,2,2,7021000.0
Chennai,Pallavaram,1790,3,3,13326000.0
Delhi,Rohini,1784,3,3,14804000.0
Bangalore,Yelahanka,1253,3,3,13300000.0
Mumbai,Chembur,784,2,1,12474000.0
Delhi,Greater Kailash,1723,3,2,30224000.0
Bangalore,Yelahanka,2370,4,3,27108000.0
Mumbai,Chembur,1757,3,3,24303000.0
Bangalore,Hebbal,978,2,2,14969000.0
Chennai,Chromepet,810,2,2,6344000.0
Delhi,Dwarka,1316,3,3,14681000.0
Bangalore,Whitefield,1687,3,2,24223000.0
Hyderabad,Kondapur,1537,3,2,12588000.0
Delhi,Greater Kailash,783,2,2,11459000.0
Bangalore,Electronic City,1437,3,3,12672000.0
Delhi,Greater Kailash,605,1,1,7004000.0
Chennai,Ambattur,1916,4,4,16530000.0
Delhi,Saket,872,2,2,10581000.0
Mumbai,Borivali,657,1,1,7783000.0
Delhi,Uttam Nagar,813,2,2,4341000.0
Hyderabad,HITEC City,1187,2,2,10966000.0
Hyderabad,Gachibowli,1516,3,3,13269000.0
Chennai,OMR,2483,4,4,31854000.0
Chennai,Medavakkam,670,1,1,4293000.0
Chennai,Medavakkam,860,2,1,5981000.0
Hyderabad,Gachibowli,918,2,2,7135000.0
Mumbai,Borivali,792,2,2,9109000.0
Hyderabad,Gachibowli,1787,3,3,12929000.0
Hyderabad,Miyapur,870,2,1,4375000.0
Bangalore,Hebbal,1789,3,3,27398000.0
Bangalore,Yelahanka,921,2,1,8857000.0
Mumbai,Lower Parel,1209,3,3,30739000.0
Mumbai,Lower Parel,1720,3,3,43631000.0
Bangalore,Whitefield,1119,3,2,17170000.0
Mumbai,Lower Parel,1085,2,2,23166000.0
Mumbai,Andheri East,1725,4,4,30436000.0
Mumbai,Chembur,879,2,1,12576000.0
Bangalore,Whitefield,1132,3,2,19073000.0
Mumbai,Worli,421,1,1,9987000.0
Chennai,OMR,1643,3,3,19864000.0
Hyderabad,Kukatpally,782,2,2,4329000.0
Chennai,Ambattur,1195,3,3,9487000.0
Chennai,Medavakkam,670,1,1,4808000.0
Bangalore,Electronic City,1144,2,2,10520000.0
Delhi,Dwarka,1143,2,2,10257000.0
Mumbai,Lower Parel,1780,3,3,46873000.0
Chennai,Ambattur,2578,4,3,22113000.0
Chennai,OMR,1059,2,2,11255000.0
Chennai,Pallavaram,969,2,1,6479000.0
Hyderabad,HITEC City,715,2,2,6483000.0
Mumbai,Lower Parel,1335,3,3,34517000.0
Chennai,Pallavaram,1923,4,3,16100000.0
Mumbai,Chembur,1776,3,3,30237000.0
Hyderabad,Miyapur,1559,3,3,9029000.0
Mumbai,Worli,803,2,2,19051000.0
Bangalore,Yelahanka,1125,3,3,13407000.0
Bangalore,Yelahanka,1745,3,2,17215000.0
Chennai,Ambattur,1109,3,3,9465000.0
Delhi,Saket,974,2,2,13689000.0
Chennai,Ambattur,1442,3,2,12524000.0
Delhi,Saket,1295,3,2,16721000.0
Mumbai,Worli,1106,3,2,28759000.0
Delhi,Greater Kailash,2661,4,3,46745000.0
Delhi,Rohini,998,2,2,8108000.0
Mumbai,Chembur,477,1,1,7341000.0
Bangalore,Sarjapur Road,1540,3,2,22461000.0
Delhi,Greater Kailash,1249,3,3,17245000.0
Chennai,Medavakkam,817,2,1,8283000.0
Hyderabad,Kukatpally,652,1,1,3348000.0
Mumbai,Worli,1543,3,3,35930000.0
Bangalore,Electronic City,1792,3,3,18975000.0
Mumbai,Worli,3374,5,4,95101000.0
Bangalore,Sarjapur Road,2527,5,5,34391000.0
Bangalore,Yelahanka,649,1,1,5776000.0
Mumbai,Borivali,1457,3,3,20138000.0
Mumbai,Borivali,2041,4,4,29175000.0
Bangalore,Whitefield,1816,4,3,26514000.0
Mumbai,Worli,846,2,1,21879000.0
Bangalore,Hebbal,520,1,1,6939000.0
Bangalore,Sarjapur Road,1523,3,2,21558000.0
Hyderabad,Miyapur,2058,4,4,14136000.0
Mumbai,Andheri East,489,1,1,7982000.0
Chennai,Pallavaram,1117,2,2,9075000.0
Chennai,Medavakkam,1075,2,2,8191000.0
Chennai,Ambattur,925,2,2,6488000.0
Chennai,Medavakkam,1013,2,2,9108000.0
Bangalore,Hebbal,929,2,2,13366000.0
Bangalore,Yelahanka,855,2,2,8303000.0
Bangalore,Yelahanka,770,2,2,6903000.0
Delhi,Dwarka,2499,4,4,26969000.0
Bangalore,Hebbal,3875,5,5,72677000.0
Delhi,Saket,3296,5,5,53036000.0
Chennai,Pallavaram,804,2,1,6360000.0
Mumbai,Andheri East,814,2,2,14746000.0
Mumbai,Andheri East,2781,4,4,49188000.0
Mumbai,Andheri East,1491,3,3,27321000.0
Hyderabad,Kondapur,1180,3,3,8870000.0
Hyderabad,HITEC City,1217,3,3,11053000.0
Chennai,Ambattur,1020,2,1,8750000.0
Bangalore,Sarjapur Road,784,2,2,10103000.0
Mumbai,Lower Parel,1636,3,2,44372000.0
Hyderabad,Kukatpally,2766,4,4,18897000.0
Mumbai,Chembur,428,1,1,5538000.0
Hyderabad,Kukatpally,1177,3,2,7750000.0
Bangalore,Hebbal,1149,2,2,18435000.0
Hyderabad,Kondapur,731,2,2,5545000.0
Delhi,Saket,2230,4,3,35245000.0
Bangalore,Whitefield,1200,2,2,16976000.0
Delhi,Dwarka,1229,3,2,12479000.0
Delhi,Saket,1058,2,2,13709000.0
Chennai,Chromepet,1305,3,3,9997000.0
Delhi,Saket,3314,5,4,61153000.0
Mumbai,Borivali,1585,3,3,18084000.0
Mumbai,Chembur,2157,4,4,37990000.0
Bangalore,Sarjapur Road,1671,3,3,21506000.0
Chennai,Pallavaram,720,2,1,5113000.0
Bangalore,Sarjapur Road,1521,3,2,23054000.0
Bangalore,Hebbal,865,2,2,13790000.0
Bangalore,Sarjapur Road,2498,4,3,35512000.0
Mumbai,Borivali,930,2,1,13767000.0
Bangalore,Hebbal,1187,2,2,18800000.0
Bangalore,Whitefield,1502,3,2,20550000.0
Bangalore,Whitefield,546,1,1,6759000.0
Mumbai,Borivali,1231,3,2,16934000.0
Mumbai,Lower Parel,1237,3,3,29512000.0
Chennai,OMR,767,2,2,7482000.0
Chennai,Ambattur,2580,4,4,22706000.0
Bangalore,Electronic City,2520,4,4,26947000.0
Delhi,Dwarka,1323,3,3,14368000.0
Chennai,OMR,789,2,2,8658000.0
Hyderabad,Miyapur,1498,3,2,9343000.0
Hyderabad,Miyapur,812,2,1,4264000.0
Bangalore,Electronic City,1787,3,3,17523000.0
Delhi,Greater Kailash,1099,2,2,14615000.0
Delhi,Rohini,771,2,2,6852000.0
Delhi,Dwarka,1115,2,2,11122000.0
Delhi,Saket,841,2,1,10780000.0
Mumbai,Andheri East,2292,4,4,41263000.0
Chennai,Chromepet,1393,3,3,11016000.0
Delhi,Dwarka,1166,2,2,9233000.0
Bangalore,Sarjapur Road,2266,4,3,28860000.0
Mumbai,Lower Parel,776,2,1,17514000.0
Hyderabad,HITEC City,435,1,1,3184000.0
Hyderabad,HITEC City,1670,3,2,14837000.0
Delhi,Dwarka,575,1,1,4270000.0
Hyderabad,Miyapur,2173,4,4,12384000.0
Delhi,Dwarka,476,1,1,4101000.0
Bangalore,Sarjapur Road,3860,5,4,61194000.0
Delhi,Saket,1122,2,2,16461000.0
Chennai,Medavakkam,429,1,1,3419000.0
Hyderabad,Gachibowli,1992,4,4,16928000.0
Delhi,Saket,981,2,2,12893000.0
Delhi,Saket,1193,2,2,15071000.0
Hyderabad,Gachibowli,1733,3,3,12552000.0
Chennai,Ambattur,865,2,2,6559000.0
Bangalore,Yelahanka,2308,4,4,26515000.0
Hyderabad,Kukatpally,1447,3,3,8903000.0
Bangalore,Hebbal,442,1,1,5451000.0
Delhi,Greater Kailash,1291,3,3,21396000.0
Mumbai,Lower Parel,1146,2,1,26158000.0
Chennai,OMR,1861,4,3,19586000.0
Chennai,Ambattur,788,2,1,5344000.0
Delhi,Uttam Nagar,1754,3,3,11090000.0
Bangalore,Sarjapur Road,530,1,1,5441000.0
Hyderabad,Gachibowli,709,2,2,4577000.0
Delhi,Dwarka,1111,3,2,11195000.0
Chennai,Chromepet,714,2,2,6152000.0
Delhi,Greater Kailash,1049,2,1,17369000.0
Chennai,Ambattur,1989,4,4,18545000.0
Delhi,Rohini,1773,3,3,14830000.0
Bangalore,Sarjapur Road,1793,4,3,24801000.0
Bangalore,Yelahanka,819,2,2,8623000.0
Hyderabad,Kondapur,1677,3,3,12879000.0
Chennai,Medavakkam,859,2,1,6795000.0
Delhi,Greater Kailash,2304,4,4,41060000.0
Chennai,Ambattur,1296,3,3,11677000.0
Bangalore,Yelahanka,1778,3,2,16705000.0
Mumbai,Borivali,2737,4,4,39058000.0
Mumbai,Worli,498,1,1,12817000.0
Bangalore,Electronic City,1479,3,3,17695000.0
Chennai,Ambattur,1463,3,2,9796000.0
Mumbai,Lower Parel,1429,3,3,36663000.0
Chennai,Ambattur,803,2,2,5661000.0
Chennai,Ambattur,1162,2,2,9276000.0
Mumbai,Worli,1323,3,3,36853000.0
Delhi,Saket,858,2,1,11727000.0
Hyderabad,HITEC City,832,2,1,7276000.0
Hyderabad,Gachibowli,872,2,2,7486000.0
Delhi,Rohini,1207,3,3,12274000.0
Hyderabad,Kondapur,1741,3,3,14466000.0
Chennai,Pallavaram,1528,3,3,12449000.0
Mumbai,Andheri East,1141,2,1,17691000.0
Delhi,Uttam Nagar,1174,3,3,7582000.0
Bangalore,Sarjapur Road,897,2,2,11886000.0
Hyderabad,HITEC City,951,2,2,8634000.0
Mumbai,Chembur,840,2,2,12197000.0
Delhi,Uttam Nagar,2738,4,4,17175000.0
Mumbai,Borivali,2078,4,4,28977000.0
Mumbai,Andheri East,1617,3,3,30037000.0
Hyderabad,Kukatpally,975,2,1,6006000.0
Mumbai,Lower Parel,1329,3,3,29916000.0
Bangalore,Hebbal,1688,3,3,26526000.0
Hyderabad,Kukatpally,1351,3,2,7967000.0
Chennai,Ambattur,767,2,2,5009000.0
Mumbai,Andheri East,842,2,2,13961000.0
Bangalore,Electronic City,1612,3,3,15720000.0
Hyderabad,HITEC City,1665,3,3,16955000.0
Delhi,Dwarka,1573,3,2,13154000.0
Chennai,Chromepet,1023,2,1,7989000.0
Hyderabad,Gachibowli,445,1,1,2955000.0
Hyderabad,HITEC City,2103,4,4,22062000.0
Bangalore,Yelahanka,1001,2,2,9362000.0
Mumbai,Worli,2512,5,5,88452000.0
Bangalore,Sarjapur Road,2239,4,4,28351000.0
Delhi,Dwarka,702,2,2,6948000.0
Chennai,OMR,1271,3,3,13120000.0
Bangalore,Sarjapur Road,662,1,1,6690000.0
Bangalore,Hebbal,2692,4,3,46491000.0
Bangalore,Yelahanka,1417,3,3,16090000.0
Delhi,Uttam Nagar,1143,3,2,6316000.0
Hyderabad,Kukatpally,1511,3,3,9912000.0
Hyderabad,Kondapur,1583,3,3,12219000.0
Chennai,Ambattur,2629,5,5,23305000.0
